date,ticker,field,value
2013-07-02,MEXBOL Index,PX_OPEN,41176.8
2013-07-02,MEXBOL Index,PX_LAST,40832.48
2013-07-02,MEXBOL Index,PX_LOW,40617.18
2013-07-02,MEXBOL Index,PX_HIGH,41219.56
2013-07-02,MEXBOL Index,PX_VOLUME,330633600.0
2013-07-03,MEXBOL Index,PX_OPEN,40834.41
2013-07-03,MEXBOL Index,PX_LAST,40828.85
2013-07-03,MEXBOL Index,PX_LOW,40522.97
2013-07-03,MEXBOL Index,PX_HIGH,40957.16
2013-07-03,MEXBOL Index,PX_VOLUME,254904500.0
2013-07-04,MEXBOL Index,PX_OPEN,40829.37
2013-07-04,MEXBOL Index,PX_LAST,41200.4
2013-07-04,MEXBOL Index,PX_LOW,40829.37
2013-07-04,MEXBOL Index,PX_HIGH,41269.24
2013-07-04,MEXBOL Index,PX_VOLUME,93390990.0
2013-07-05,MEXBOL Index,PX_OPEN,41201.61
2013-07-05,MEXBOL Index,PX_LAST,40623.09
2013-07-05,MEXBOL Index,PX_LOW,40107.09
2013-07-05,MEXBOL Index,PX_HIGH,41285.2
2013-07-05,MEXBOL Index,PX_VOLUME,201726400.0
2013-07-08,MEXBOL Index,PX_OPEN,40634.14
2013-07-08,MEXBOL Index,PX_LAST,40071.64
2013-07-08,MEXBOL Index,PX_LOW,40071.64
2013-07-08,MEXBOL Index,PX_HIGH,40771.84
2013-07-08,MEXBOL Index,PX_VOLUME,214722200.0
2013-07-09,MEXBOL Index,PX_OPEN,40073.02
2013-07-09,MEXBOL Index,PX_LAST,40221.0
2013-07-09,MEXBOL Index,PX_LOW,40073.02
2013-07-09,MEXBOL Index,PX_HIGH,40422.66
2013-07-09,MEXBOL Index,PX_VOLUME,191972200.0
2013-07-10,MEXBOL Index,PX_OPEN,40221.35
2013-07-10,MEXBOL Index,PX_LAST,39999.02
2013-07-10,MEXBOL Index,PX_LOW,39915.13
2013-07-10,MEXBOL Index,PX_HIGH,40241.11
2013-07-10,MEXBOL Index,PX_VOLUME,160190300.0
2013-07-11,MEXBOL Index,PX_OPEN,39996.0
2013-07-11,MEXBOL Index,PX_LAST,40479.83
2013-07-11,MEXBOL Index,PX_LOW,39996.0
2013-07-11,MEXBOL Index,PX_HIGH,40575.49
2013-07-11,MEXBOL Index,PX_VOLUME,245251300.0
2013-07-12,MEXBOL Index,PX_OPEN,40475.6
2013-07-12,MEXBOL Index,PX_LAST,40329.81
2013-07-12,MEXBOL Index,PX_LOW,40071.53
2013-07-12,MEXBOL Index,PX_HIGH,40558.55
2013-07-12,MEXBOL Index,PX_VOLUME,253358800.0
2013-07-15,MEXBOL Index,PX_OPEN,40332.49
2013-07-15,MEXBOL Index,PX_LAST,40322.32
2013-07-15,MEXBOL Index,PX_LOW,40143.14
2013-07-15,MEXBOL Index,PX_HIGH,40556.6
2013-07-15,MEXBOL Index,PX_VOLUME,198548700.0
2013-07-16,MEXBOL Index,PX_OPEN,40320.98
2013-07-16,MEXBOL Index,PX_LAST,39659.51
2013-07-16,MEXBOL Index,PX_LOW,39290.25
2013-07-16,MEXBOL Index,PX_HIGH,40377.43
2013-07-16,MEXBOL Index,PX_VOLUME,217989400.0
2013-07-17,MEXBOL Index,PX_OPEN,39657.65
2013-07-17,MEXBOL Index,PX_LAST,40240.19
2013-07-17,MEXBOL Index,PX_LOW,39657.51
2013-07-17,MEXBOL Index,PX_HIGH,40246.08
2013-07-17,MEXBOL Index,PX_VOLUME,347630200.0
2013-07-18,MEXBOL Index,PX_OPEN,40227.28
2013-07-18,MEXBOL Index,PX_LAST,40245.31
2013-07-18,MEXBOL Index,PX_LOW,40091.46
2013-07-18,MEXBOL Index,PX_HIGH,40346.01
2013-07-18,MEXBOL Index,PX_VOLUME,240906100.0
2013-07-19,MEXBOL Index,PX_OPEN,40242.72
2013-07-19,MEXBOL Index,PX_LAST,39891.67
2013-07-19,MEXBOL Index,PX_LOW,39843.33
2013-07-19,MEXBOL Index,PX_HIGH,40244.08
2013-07-19,MEXBOL Index,PX_VOLUME,131984500.0
2013-07-22,MEXBOL Index,PX_OPEN,39885.63
2013-07-22,MEXBOL Index,PX_LAST,40117.67
2013-07-22,MEXBOL Index,PX_LOW,39775.41
2013-07-22,MEXBOL Index,PX_HIGH,40245.85
2013-07-22,MEXBOL Index,PX_VOLUME,246287800.0
2013-07-23,MEXBOL Index,PX_OPEN,40117.67
2013-07-23,MEXBOL Index,PX_LAST,40790.16
2013-07-23,MEXBOL Index,PX_LOW,40054.35
2013-07-23,MEXBOL Index,PX_HIGH,40790.21
2013-07-23,MEXBOL Index,PX_VOLUME,238554700.0
2013-07-24,MEXBOL Index,PX_OPEN,40766.16
2013-07-24,MEXBOL Index,PX_LAST,40839.04
2013-07-24,MEXBOL Index,PX_LOW,40665.06
2013-07-24,MEXBOL Index,PX_HIGH,40922.69
2013-07-24,MEXBOL Index,PX_VOLUME,165493700.0
2013-07-25,MEXBOL Index,PX_OPEN,40844.74
2013-07-25,MEXBOL Index,PX_LAST,40752.09
2013-07-25,MEXBOL Index,PX_LOW,40692.02
2013-07-25,MEXBOL Index,PX_HIGH,40988.17
2013-07-25,MEXBOL Index,PX_VOLUME,230343700.0
2013-07-26,MEXBOL Index,PX_OPEN,40762.11
2013-07-26,MEXBOL Index,PX_LAST,41064.58
2013-07-26,MEXBOL Index,PX_LOW,40748.71
2013-07-26,MEXBOL Index,PX_HIGH,41241.34
2013-07-26,MEXBOL Index,PX_VOLUME,244595300.0
2013-07-29,MEXBOL Index,PX_OPEN,41059.08
2013-07-29,MEXBOL Index,PX_LAST,40341.86
2013-07-29,MEXBOL Index,PX_LOW,40341.62
2013-07-29,MEXBOL Index,PX_HIGH,41135.54
2013-07-29,MEXBOL Index,PX_VOLUME,195763100.0
2013-07-30,MEXBOL Index,PX_OPEN,40341.86
2013-07-30,MEXBOL Index,PX_LAST,40236.55
2013-07-30,MEXBOL Index,PX_LOW,40142.5
2013-07-30,MEXBOL Index,PX_HIGH,40524.14
2013-07-30,MEXBOL Index,PX_VOLUME,195703500.0
2013-07-31,MEXBOL Index,PX_OPEN,40247.28
2013-07-31,MEXBOL Index,PX_LAST,40837.88
2013-07-31,MEXBOL Index,PX_LOW,40081.75
2013-07-31,MEXBOL Index,PX_HIGH,41108.7
2013-07-31,MEXBOL Index,PX_VOLUME,288584700.0
2013-08-01,MEXBOL Index,PX_OPEN,40838.74
2013-08-01,MEXBOL Index,PX_LAST,41863.76
2013-08-01,MEXBOL Index,PX_LOW,40838.74
